	交易日期,	记账日期,	交易摘要,	交易地点,	卡号末四位,	人民币金额,	交易地金额
	2020-04-12,	尚未入账,	支付宝-扬州维扬店,	CN,"7473",	￥58.78,"58.78"
	2020-04-07,	2020-04-08,	掌上生活还款,	,	0518,"￥-6,672.39","-6,672.39"
	2020-03-17,	2020-03-25,	支付宝-广州市聚优美贸易有限公司,	CN,"7473",	￥-94.00,"-94.00"
	2020-03-19,	2020-03-20,	回馈金—笔笔返现,	,"7473",	￥-0.16,"-0.16"
	2020-03-20,	2020-03-21,	回馈金-天天红包,	,"7473",	￥-1.00,"-1.00"
	2020-03-20,	2020-03-21,	支付宝-北京百度网讯科技有限公司,	CN,"7473",	￥9.64,"9.64"
	2020-03-20,	2020-03-21,	支付宝-宜家电子商务（中国）有限公司,	CN,"7473",	￥303.90,"303.90"
	2020-03-21,	2020-03-22,	回馈金—笔笔返现,	,"7473",	￥-0.24,"-0.24"
	2020-03-21,	2020-03-22,	支付宝-上海拉扎斯信息科技有限公司,	CN,"7473",	￥31.76,"31.76"
	2020-03-22,	2020-03-23,	回馈金—笔笔返现,	,"7473",	￥-0.12,"-0.12"
	2020-03-22,	2020-03-23,	回馈金—笔笔返现,	,"7473",	￥-0.18,"-0.18"
	2020-03-22,	2020-03-23,	支付宝-林德生,	CN,"7473",	￥22.95,"22.95"
	2020-03-22,	2020-03-23,	支付宝-陈锦芳,	CN,"7473",	￥46.56,"46.56"
	2020-03-23,	2020-03-24,	回馈金—笔笔返现,	,"7473",	￥-0.12,"-0.12"
	2020-03-23,	2020-03-24,	回馈金—笔笔返现,	,"7473",	￥-0.12,"-0.12"
	2020-03-23,	2020-03-24,	支付宝-永康市乐瑶工贸有限公司,	CN,"7473",	￥26.90,"26.90"
	2020-03-23,	2020-03-24,	支付宝-李佳瑜,	CN,"7473",	￥313.11,"313.11"
	2020-03-23,	2020-03-24,	支付宝-武汉福禄网络科技有限公司,	CN,"7473",	￥9.50,"9.50"
	2020-03-23,	2020-03-25,	支付宝-李佳瑜,	CN,"7473",	￥-13.90,"-13.90"
	2020-03-23,	2020-03-25,	支付宝-李佳瑜,	CN,"7473",	￥-0.30,"-0.30"
	2020-03-24,	2020-03-25,	回馈金—笔笔返现,	,"7473",	￥-0.12,"-0.12"
	2020-03-24,	2020-03-25,	支付宝-常州良木家居有限公司,	CN,"7473",	￥82.98,"82.98"
	2020-03-24,	2020-03-25,	支付宝-宜家电子商务（中国）有限公司,	CN,"7473",	￥123.29,"123.29"
	2020-03-24,	2020-03-25,	支付宝-上海拉扎斯信息科技有限公司,	CN,"7473",	￥37.26,"37.26"
	2020-03-24,	2020-03-25,	支付宝-苏州沃晟信息技术有限公司,	CN,"7473",	￥19.57,"19.57"
	2020-03-24,	2020-03-26,	支付宝-苏州沃晟信息技术有限公司,	CN,"7473",	￥-19.31,"-19.31"
	2020-03-25,	2020-03-26,	回馈金—笔笔返现,	,"7473",	￥-0.12,"-0.12"
	2020-03-25,	2020-03-26,	回馈金调回—笔笔返现,	,"7473",	￥0.12,"0.12"
	2020-03-25,	2020-03-26,	财付通-瑞康宠物医疗中心,	CN,"7473",	￥100.00,"100.00"
	2020-03-25,	2020-03-26,	支付宝-招远市张小兵鲜花店,	CN,"7473",	￥21.04,"21.04"
	2020-03-27,	2020-03-28,	支付宝-武汉安东博鑫贸易有限公司,	CN,"7473",	￥80.66,"80.66"
	2020-03-27,	2020-03-28,	支付宝-博仕广告,	CN,"7473",	￥1.88,"1.88"
	2020-03-28,	2020-03-29,	支付宝-王梅煎饼店,	CN,"7473",	￥8.00,"8.00"
	2020-03-28,	2020-03-29,	支付宝-相互宝分摊,	CN,"7473",	￥0.77,"0.77"
	2020-03-29,	2020-03-30,	支付宝-余姚诺莎贸易有限公司,	CN,"7473",	￥29.24,"29.24"
	2020-03-29,	2020-03-31,	华为商城         001-006,	,"7473",	￥16.67,"16.67"
	2020-03-29,	2020-04-05,	华为商城        退货,	,"7473",	￥-16.67,"-16.67"
	2020-03-30,	2020-03-31,	支付宝-支付宝(中国)网络技术有限,	CN,"7473",	￥6.00,"6.00"
	2020-03-30,	2020-03-31,	支付宝-华润万家有限公司,	CN,"7473",	￥6.90,"6.90"
	2020-03-31,	2020-04-01,	回馈金—笔笔返现,	,"7473",	￥-0.50,"-0.50"
	2020-03-31,	2020-04-01,	财付通-颜路边摊火锅（吾悦广,	CN,"7473",	￥68.00,"68.00"
	2020-03-31,	2020-04-01,	美团点评-美团支付-美团支付,	CN,"7473",	￥88.89,"88.89"
