	对账标志,	交易日期,	记账日期,	交易摘要,	卡号后四位,	人民币金额,	消费类别,	备注
	未确认,	2020-03-02,	2020-03-03,	美团点评 - 美团支付 - 美团支付,"7473","73.74",	,	
	未确认,	2020-03-03,	2020-03-04,	支付宝 - 石家庄市惠康食品有限公司,"7473","74.80",	,	
	未确认,	2020-03-04,	2020-03-05,	财付通 - 滴滴出行,"7473","11.00",	,	
	未确认,	2020-03-04,	2020-03-05,	财付通 - 乌龟量化,"7473","33.00",	,	
	未确认,	2020-03-05,	2020-03-06,	支付宝 - 永康市臻友电子商务有限公司,"7473","21.40",	,	
	未确认,	2020-03-07,	2020-03-08,	掌上生活还款,	0518,"-661.98",	,	
	未确认,	2020-03-07,	2020-03-08,	支付宝 - 博仕广告,"7473","1.88",	,	
	未确认,	2020-03-08,	2020-03-09,	财付通,"7473","12.00",	,	
	未确认,	2020-03-08,	2020-03-09,	美团点评 - 美团支付 - 美团支付,"7473","22.66",	,	
	未确认,	2020-03-08,	2020-03-09,	支付宝 - 浙江大好大食品有限公司,"7473","34.90",	,	
	未确认,	2020-03-09,	2020-03-10,	支付宝 - 南京南站停车场,"7473","4.00",	,	
	未确认,	2020-03-09,	2020-03-10,	财付通 - 南京宜家家居有限公司,"7473","8.00",	,		
	未确认,	2020-03-29,	2020-03-31,	华为商城          001-006,"7473","16.67",	,	
	未确认,	2020-03-30,	2020-03-31,	支付宝 - 支付宝 ( 中国 ) 网络技术有限,"7473","6.00",	,	
	未确认,	2020-03-30,	2020-03-31,	支付宝 - 华润万家有限公司,"7473","6.90",	,	
