	对账标志,	交易日期,	记账日期,	交易摘要,	卡号后四位,	人民币金额,	消费类别,	备注
	未确认,	2020-03-31,	2020-04-01,	财付通 - 满记甜品,"7473","19.00",	,	
	未确认,	2020-03-31,	2020-04-01,	财付通 - 颜路边摊火锅（吾悦广,"7473","68.00",	,	
	未确认,	2020-03-31,	2020-04-01,	美团点评 - 美团支付 - 美团支付,"7473","88.89",	,	
	未确认,	2020-04-02,	2020-04-03,	支付宝 - 小米科技有限责任公司,"7473","20.00",	,	
	未确认,	2020-04-02,	2020-04-03,	支付宝 - 广州淘通科技股份有限公司,"7473","55.60",	,	
	未确认,	2020-04-03,	2020-04-04,	支付宝 - 广州飞韩电子科技有限公司,"7473","10.59",	,	
	未确认,	2020-04-03,	2020-04-04,	支付宝 - 合肥欧卓办公商贸有限公司,"7473","23.80",	,	
	未确认,	2020-03-29,	2020-04-05,	华为商城          退货,"7473","-16.67",	,	
	未确认,	2020-04-04,	2020-04-05,	华为商城          001-006,"7473","16.67",	,	
	未确认,	2020-04-08,	2020-04-09,	华为商城          001-006,"7473","814.67",	,	
